"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
47,"Robert Garrigus","6789",-0.979298962393034,0.638579141471533,2.85973656250673,74.7305013594567,326,-0.639793916823514,0.364393829366238,1,"USA",78,"PGA Tour","PGA Tour",-1.17480437217916,0.602841234269001,5.18648602833706e-11,2.84527732690699,2.7875275580728
48,"Roberto Castro","12643",-0.974631643407451,0.633201813384879,2.78793103555004,84.3352844272862,310,-0.566563623226256,0.388806331749362,1,"USA",101,"PGA Tour","PGA Tour",-1.15186603604529,0.600038040951485,5.45613958140868e-11,2.66744355713825,2.71507180798395
49,"John Senden","5207",-0.969423073834357,0.62637624118918,2.70134443255389,91.4849949728289,418,-0.524602574245211,0.371674738261147,1,"AUS",96,"PGA Tour","PGA Tour",-1.13447778755619,0.598383555981053,5.87047086104386e-11,2.47401047029848,2.62772040897878
50,"Billy Horschel","11276",-0.965993886817975,0.635431169206037,2.95751739924939,88.4861920191881,291,-0.546224046851105,0.432456947725188,1,"USA",110,"PGA Tour","PGA Tour",-1.13654802226038,0.599040442882519,6.01856751418561e-11,3.06838206444004,2.88844878716316
51,"Ross Fisher","9396",-0.943188036585333,0.633345920111846,2.75844460697846,98.1660037289663,349,-0.00551286516539107,0.461458436866794,1,"ENG",113,"European Tour","European Tour",-1.12058086092228,0.597604944488047,6.47781795133358e-11,2.60831344845328,2.6847513097578
52,"Kevin Stadler","7602",-0.93671831630024,0.63336704654527,2.89150726243047,83.8860564272015,360,-0.585306760732617,0.38697966135857,1,"USA",95,"PGA Tour","PGA Tour",-1.11169710038488,0.60020143216582,8.62849597532065e-11,2.91901490325969,2.82128701713219
53,"Charley Hoffman","5768",-0.93111995942766,0.632107998843323,2.91446817316997,86.5522263554345,370,-0.675103673664538,0.392980280026664,1,"USA",100,"PGA Tour","PGA Tour",-1.09684776659839,0.599535101343148,9.69328333649553e-11,2.97144503955912,2.8450947629594
54,"Jeff Overton","10498",-0.919817440974995,0.629196777199667,2.7454085025234,86.3905493157751,382,-0.552646649256723,0.367662528931135,1,"USA",94,"PGA Tour","PGA Tour",-1.08994232408191,0.599472445768951,1.04139902528604e-10,2.56895227938859,2.67233591849703
55,"Chris Stroud","9604",-0.919775983015548,0.632865112003847,2.80565484208241,84.1609575661249,361,-0.579782188664355,0.386141693177288,1,"USA",99,"PGA Tour","PGA Tour",-1.09339696869988,0.599900846775156,1.0335482982683e-10,2.71058969700492,2.73334608912022
56,"Joost Luiten","10158",-0.918551145847319,0.633135883529391,2.77467985797381,85.9131322806185,365,0.0872084268612252,0.391066173537728,1,"NED",87,"European Tour","European Tour",-1.11734388953188,0.600631887675239,8.36059380660912e-11,2.63653000580113,2.70147871863412
57,"Ryan Palmer","7820",-0.872747715053566,0.636208569339939,2.85305123133849,76.8245301537965,351,-0.613400719845829,0.36122724603994,1,"USA",89,"PGA Tour","PGA Tour",-1.05742406685181,0.602186325089409,1.79768830418681e-10,2.82793370409106,2.78121196332471
58,"Vijay Singh","653",-0.869127724392026,0.637238438681611,2.80833274016656,78.6231499543272,337,-0.520529363273694,0.382631420360658,1,"FIJ",82,"PGA Tour","PGA Tour",-1.05387286021918,0.601725890993074,1.80971496509969e-10,2.71325571586263,2.73507951470484
59,"Matt Jones","8605",-0.846755759246987,0.640448408371117,2.77023244410481,79.528327281355,326,-0.439950609758197,0.41613009001774,1,"AUS",97,"PGA Tour","PGA Tour",-1.03231086353758,0.601322542290607,2.22285747552383e-10,2.61591722334278,2.69518341316242
60,"Victor Dubuisson","10198",-0.835148939009457,0.660848853368668,2.84970743163055,66.2330150328696,226,0.0239836935370666,0.452358451829577,1,"FRA",70,"European Tour","European Tour",-1.08061587209374,0.606993512312994,1.94785215189799e-10,2.81026127216127,2.77202295064303
61,"Kevin Streelman","8480",-0.833397621829587,0.63159165038479,2.84949009151733,89.3517320257894,372,-0.746167034226119,0.404529861256615,1,"USA",102,"PGA Tour","PGA Tour",-0.985405945730318,0.598948189999327,3.13527063613471e-10,2.8154374894899,2.77861220194896
62,"Bernd Wiesberger","9531",-0.828666167383573,0.628424080011453,2.73182454981783,98.180886609817,383,0.161322702613159,0.417236544733061,1,"AUT",103,"European Tour","European Tour",-1.00436945503303,0.597918315663701,2.38125826717855e-10,2.55145862046852,2.65856136785464
63,"Gary Woodland","12577",-0.815852776459449,0.63637625884205,2.89150947180951,82.2471551646435,334,-0.715407142613127,0.400798595130945,1,"USA",99,"PGA Tour","PGA Tour",-0.981089223023788,0.60070859621979,3.69697005651508e-10,2.91934353622042,2.82061204045262
64,"John Peterson","15611",-0.814675266022729,0.67748872355366,2.72986111870479,66.0726207892263,131,0.0361082027696898,0.570130259208121,0,"USA",97,"Web.com Tour","Web.com Tour",-1.06479445791239,0.606264183756547,2.19614114388611e-10,2.46075737291156,2.64445660899811
