"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Carl Pettersson",7048,"SWE","524","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Steven Alker",4871,"NZL","525","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jonathan Byrd",6931,"USA","540","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Lee McCoy",19871,"USA","548","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Aaron Wise",22051,"USA","623","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Gonzalo Fdez-Castano",8262,"ESP","635","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Brian Gay",5951,"USA","820","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Tommy Gainey",12169,"USA","998","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Bob Estes",889,"USA","1877","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Marty Jertson",15116,"USA","1877","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Danny Willett",12920,"ENG","10","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Tyrrell Hatton",14796,"ENG","35","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Byeong Hun An",14459,"KOR","42","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Lee Westwood",4052,"ENG","45","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Andy Sullivan",15326,"ENG","46","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Soren Kjeldsen",6149,"DEN","50","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Thongchai Jaidee",5973,"THA","51","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Bernd Wiesberger",9531,"AUT","52","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Scott Hend",1888,"AUS","63","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Anirban Lahiri",12669,"IND","70","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Kiradech Aphibarnrat",12321,"THA","74","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Andrew Johnston",14666,"ENG","84","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Jeunghun Wang",15366,"KOR","90","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Thorbjorn Olesen",13412,"DEN","92","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Jaco Van Zyl",7105,"RSA","95","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Alexander Levy",14973,"FRA","98","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Padraig Harrington",5716,"IRL","99","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Brandon Stone",15229,"RSA","101","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Victor Dubuisson",10198,"FRA","106","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Richard Bland",6516,"ENG","107","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"James Morrison",11061,"ENG","119","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Gregory Bourdy",7932,"FRA","122","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Nicolas Colsaerts",6893,"BEL","135","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Julien Quesne",9131,"FRA","140","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Tommy Fleetwood",12294,"ENG","149","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"David Horsey",11230,"ENG","151","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Richard Sterne",7049,"RSA","155","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Wu Ashun",11763,"CHN","158","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Fabrizio Zanotti",9842,"PAR","159","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"George Coetzee",10884,"RSA","160","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Ricardo Gouveia",18722,"POR","161","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Nacho Elvira",12988,"ESP","167","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Alejandro Canizares",11509,"ESP","169","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Matthew Southgate",15191,"ENG","172","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Pablo Larrazabal",9133,"ESP","176","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Lucas Bjerregaard",11619,"DEN","177","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Li Haotong",15310,"CHN","185","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Lee Slattery",6866,"ENG","187","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Jorge Campillo",14016,"ESP","188","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Marc Warren",7567,"SCO","191","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Robert Rock",7895,"ENG","192","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"David Lipsky",15980,"USA","203","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Richie Ramsay",11396,"SCO","204","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Joakim Lagergren",14780,"SWE","206","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Thomas Aiken",7679,"RSA","207","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Romain Wattel",13165,"FRA","209","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Benjamin Hebert",12213,"FRA","224","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Mikko Ilonen",6929,"FIN","225","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Callum Shinkwin",18244,"ENG","237","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Maximilian Kieffer",12317,"GER","239","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Raphael Jacquelin",5784,"FRA","247","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Chris Paisley",14844,"ENG","253","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Haydn Porteous",15866,"RSA","255","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Mike Lorenzo-Vera",9675,"FRA","263","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Mikko Korhonen",9252,"FIN","265","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Nathan Holman",15923,"AUS","274","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Darren Fichardt",5754,"RSA","278","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
