"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"WGC-American Express Championship",3630,2006-10-01,"WGC",NA,NA,2016-01-28
"Kazakhstan Open",3631,2006-10-01,"European Challenge Tour",NA,NA,2016-01-28
"Southern Farm Bureau Classic",3632,2006-10-01,"PGA Tour",NA,NA,2016-01-28
"Coca Cola Tokai Classic",3633,2006-10-01,"Japan Golf Tour",NA,NA,2016-01-28
"Mercuries Taiwan Masters",3634,2006-10-01,"Asian Tour",NA,NA,2016-01-28
"Alfred Dunhill Links Championship",3635,2006-10-08,"European Tour",NA,NA,2016-01-28
"Chrysler Classic of Greensboro",3636,2006-10-08,"PGA Tour",NA,NA,2016-01-28
"Mark Christopher Charity Classic",3637,2006-10-08,"Web.com Tour",NA,NA,2016-01-28
"Golf Open International de Toulouse",3638,2006-10-08,"European Challenge Tour",NA,NA,2016-01-28
"Taiwan Open",3639,2006-10-08,"Asian Tour",NA,NA,2016-01-28
"Frys.com Open",3640,2006-10-15,"PGA Tour",NA,NA,2016-01-28
"Permian Basin Charity Golf Classic",3641,2006-10-15,"Web.com Tour",NA,NA,2016-01-28
"Japan Open Golf Championship",3642,2006-10-15,"Japan Golf Tour",NA,NA,2016-01-28
"Volkswagen Masters - China",3643,2006-10-15,"Asian Tour",NA,NA,2016-01-28
"Funai Classic",3644,2006-10-22,"PGA Tour",NA,NA,2016-01-28
"Mallorca Classic",3645,2006-10-22,"European Tour",NA,NA,2016-01-28
"Bridgestone Open",3646,2006-10-22,"Japan Golf Tour",NA,NA,2016-01-28
"Hero Honda Indian Open",3647,2006-10-22,"Asian Tour",NA,NA,2016-01-28
"PalmettoPride Classic",3648,2006-10-22,"Web.com Tour",NA,NA,2016-01-28
"Apulia San Domenico Grand Final",3649,2006-10-22,"European Challenge Tour",NA,NA,2016-01-28
"Chrysler Championship",3650,2006-10-29,"PGA Tour",NA,NA,2016-01-28
"Volvo Masters",3651,2006-10-29,"European Tour",NA,NA,2016-01-28
"ABC Championship",3652,2006-10-29,"Japan Golf Tour",NA,NA,2016-01-28
"Miccosukee Championship",3653,2006-10-29,"Web.com Tour",NA,NA,2016-01-28
"THE TOUR Championship presented by Coca-Cola",3654,2006-11-05,"PGA Tour",NA,NA,2016-01-28
"Asahiryokuken Yomiuri Memorial",3655,2006-11-05,"Japan Golf Tour",NA,NA,2016-01-28
"HSBC Champions",3656,2006-11-12,"Sunshine Tour","PGA Tour Australasia","Asian Tour",2016-01-28
"Mitsui Sumitomo VISA Taiheiyo Masters",3657,2006-11-12,"Japan Golf Tour",NA,NA,2016-01-28
"Nationwide Tour Championship",3658,2006-11-12,"Web.com Tour",NA,NA,2016-01-28
"Dunlop Phoenix Tournament",3659,2006-11-19,"Japan Golf Tour",NA,NA,2016-01-28
"UBS Hong Kong Open",3660,2006-11-19,"Asian Tour","European Tour",NA,2016-01-28
"MFS Australian Open",3661,2006-11-19,"PGA Tour Australasia",NA,NA,2016-01-28
"Limpopo Classic",3662,2006-11-19,"Sunshine Tour",NA,NA,2016-01-28
"Mastercard Masters",3663,2006-11-26,"PGA Tour Australasia","European Tour",NA,2016-01-28
"Casio World Open",3664,2006-11-26,"Japan Golf Tour",NA,NA,2016-01-28
"Nedbank Golf Challenge",3665,2006-12-03,"Sunshine Tour",NA,NA,2016-01-28
"Blue Chip New Zealand Open",3666,2006-12-03,"PGA Tour Australasia","European Tour",NA,2016-01-28
"Golf Nippon Series JT Cup",3667,2006-12-03,"Japan Golf Tour",NA,NA,2016-01-28
"Abierto Visa de la Republica",3668,2006-12-03,"European Challenge Tour",NA,NA,2016-01-28
"CS Australian PGA Championship",3669,2006-12-10,"PGA Tour Australasia",NA,NA,2016-01-28
"Alfred Dunhill Championship",3670,2006-12-10,"Sunshine Tour","European Tour",NA,2016-01-28
"Abierto Mexicano Corona",3671,2006-12-10,"European Challenge Tour",NA,NA,2016-01-28
"South African Airways Open",3672,2006-12-17,"Sunshine Tour",NA,NA,2016-01-28
"Volvo Masters of Asia",3673,2006-12-17,"Asian Tour",NA,NA,2016-01-28
"Mercedes-Benz Championship",3674,2007-01-07,"PGA Tour",NA,NA,2016-01-28
"Sony Open in Hawaii",3675,2007-01-14,"PGA Tour",NA,NA,2016-01-28
"Joburg Open",3676,2007-01-14,"Sunshine Tour","European Tour",NA,2016-01-28
"Bob Hope Chrysler Classic",3677,2007-01-21,"PGA Tour",NA,NA,2016-01-28
"Abu Dhabi Championship",3678,2007-01-21,"European Tour",NA,NA,2016-01-28
"Pakistan Open",3679,2007-01-21,"Asian Tour",NA,NA,2016-01-28
"Commercialbank Qatar Masters",3680,2007-01-28,"Asian Tour","European Tour",NA,2016-01-28
"Buick Invitational",3681,2007-01-28,"PGA Tour",NA,NA,2016-01-28
"Dimension Data Pro-Am",3682,2007-01-28,"Sunshine Tour",NA,NA,2016-01-28
"Movistar Panama Championship",3683,2007-01-28,"Web.com Tour",NA,NA,2016-01-28
"FBR Open",3684,2007-02-04,"PGA Tour",NA,NA,2016-01-28
"Dubai Desert Classic",3685,2007-02-04,"European Tour",NA,NA,2016-01-28
"Club Colombia Masters",3686,2007-02-04,"European Challenge Tour",NA,NA,2016-01-28
"Nashua Masters",3687,2007-02-04,"Sunshine Tour",NA,NA,2016-01-28
"Philippine Open",3688,2007-02-04,"Asian Tour",NA,NA,2016-01-28
"Maybank Malaysian Open",3689,2007-02-11,"Asian Tour","European Tour",NA,2016-01-28
"AT&T Pebble Beach National Pro-Am",3690,2007-02-11,"PGA Tour",NA,NA,2016-01-28
"Kai Fieberg Costa Rica Open",3691,2007-02-11,"European Challenge Tour",NA,NA,2016-01-28
"Nissan Open",3692,2007-02-18,"PGA Tour",NA,NA,2016-01-28
"Abierto Telefonica de Guatemala",3693,2007-02-18,"European Challenge Tour",NA,NA,2016-01-28
"Enjoy Jakarta Astro Indonesia Open",3694,2007-02-18,"Asian Tour","European Tour",NA,2016-01-28
"Jacob's Creek Open",3695,2007-02-18,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Vodacom Championship",3696,2007-02-18,"Sunshine Tour",NA,NA,2016-01-28
"WGC-Accenture Match Play Championship",3697,2007-02-25,"WGC",NA,NA,2016-01-28
"Mayakoba Golf Classic",3698,2007-02-25,"PGA Tour",NA,NA,2016-01-28
"HSBC New Zealand PGA Championship",3699,2007-02-25,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Telkom PGA Championship",3700,2007-02-25,"Sunshine Tour",NA,NA,2016-01-28
"Honda Classic",3701,2007-03-04,"PGA Tour",NA,NA,2016-01-28
"Johnnie Walker Classic",3702,2007-03-04,"PGA Tour Australasia","Asian Tour","European Tour",2016-01-28
"PODS Championship",3703,2007-03-11,"PGA Tour",NA,NA,2016-01-28
"Clariden Leu Singapore Masters",3704,2007-03-11,"Asian Tour","European Tour",NA,2016-01-28
"Tusker Kenya Open",3705,2007-03-11,"European Challenge Tour",NA,NA,2016-01-28
"Arnold Palmer Invitational ",3706,2007-03-18,"PGA Tour",NA,NA,2016-01-28
"TCL Classic",3707,2007-03-18,"Asian Tour","European Tour",NA,2016-01-28
"WGC - CA Championship",3708,2007-03-25,"WGC",NA,NA,2016-01-28
"Chitimacha Louisiana Open",3709,2007-03-25,"Web.com Tour",NA,NA,2016-01-28
"Motorola International Bintan",3710,2007-03-25,"Asian Tour",NA,NA,2016-01-28
"Madeira Islands Open BPI",3711,2007-03-25,"European Tour",NA,NA,2016-01-28
"Shell Houston Open",3712,2007-04-01,"PGA Tour",NA,NA,2016-01-28
"Estoril Open de Portugal",3713,2007-04-01,"European Tour",NA,NA,2016-01-28
"Livermore Valley Wine Country Championship",3714,2007-04-01,"Web.com Tour",NA,NA,2016-01-28
"MASTERS TOURNAMENT",3715,2007-04-08,"Major Championship",NA,NA,2016-01-28
"Verizon Heritage",3716,2007-04-15,"PGA Tour",NA,NA,2016-01-28
"South Georgia Classic",3717,2007-04-15,"Web.com Tour",NA,NA,2016-01-28
"Volvo China Open",3719,2007-04-15,"Asian Tour","European Tour",NA,2016-01-28
"Token Homemate Cup",3720,2007-04-15,"Japan Golf Tour",NA,NA,2016-01-28
"San Jose International Open",3721,2007-04-15,"PGA Tour Canada",NA,NA,2016-01-28
"Zurich Classic of New Orleans",3722,2007-04-22,"PGA Tour",NA,NA,2016-01-28
"Athens Regional Foundation Classic",3723,2007-04-22,"Web.com Tour",NA,NA,2016-01-28
"BMW Asian Open",3724,2007-04-22,"Asian Tour","European Tour",NA,2016-01-28
"Tessali-Metaponto Open di Puglia e Basilicata",3725,2007-04-22,"European Challenge Tour",NA,NA,2016-01-28
"Tsuruya Open",3726,2007-04-22,"Japan Golf Tour",NA,NA,2016-01-28
"Northern California Classic",3727,2007-04-22,"PGA Tour Canada",NA,NA,2016-01-28
"EDS Byron Nelson Championship",3728,2007-04-29,"PGA Tour",NA,NA,2016-01-28
"Henrico County Open",3729,2007-04-29,"Web.com Tour",NA,NA,2016-01-28
"Open de Espana",3730,2007-04-29,"European Tour",NA,NA,2016-01-28
"The Crowns",3731,2007-04-29,"Japan Golf Tour",NA,NA,2016-01-28
"Pine Valley Beijing Open",3732,2007-04-29,"Asian Tour",NA,NA,2016-01-28
"Corona Mazatlan Classic",3733,2007-04-29,"PGA Tour Canada",NA,NA,2016-01-28
"Wachovia Championship",3734,2007-05-06,"PGA Tour",NA,NA,2016-01-28
"Fort Smith Classic",3735,2007-05-06,"Web.com Tour",NA,NA,2016-01-28
"Telecom Italia Open",3736,2007-05-06,"European Tour",NA,NA,2016-01-28
"GS Caltex Maekyung Open",3737,2007-05-06,"Asian Tour",NA,NA,2016-01-28
"Ford Culiacan Open",3738,2007-05-06,"PGA Tour Canada",NA,NA,2016-01-28
"THE PLAYERS Championship",3739,2007-05-13,"PGA Tour",NA,NA,2016-01-28
"Valle Romano Open de Andalucia",3740,2007-05-13,"European Tour",NA,NA,2016-01-28
"A.G.F. Allianz Golf Open de Toulouse",3741,2007-05-13,"European Challenge Tour",NA,NA,2016-01-28
"Japan PGA Championship",3742,2007-05-13,"Japan Golf Tour",NA,NA,2016-01-28
"Riviera Nayarit Classic",3743,2007-05-13,"PGA Tour Canada",NA,NA,2016-01-28
"AT&T Classic",3744,2007-05-20,"PGA Tour",NA,NA,2016-01-28
"BMW Charity Pro-Am at The Cliffs",3745,2007-05-20,"Web.com Tour",NA,NA,2016-01-28
"Irish Open",3746,2007-05-20,"European Tour",NA,NA,2016-01-28
"Telenet Trophy",3747,2007-05-20,"European Challenge Tour",NA,NA,2016-01-28
"Munsingwear Open KSB Cup",3748,2007-05-20,"Japan Golf Tour",NA,NA,2016-01-28
"Macau Open",3749,2007-05-20,"Asian Tour",NA,NA,2016-01-28
"Iberostar Riviera Maya Open",3750,2007-05-20,"PGA Tour Canada",NA,NA,2016-01-28
"BMW PGA Championship",3751,2007-05-27,"European Tour",NA,NA,2016-01-28
"Crowne Plaza Invitational at Colonial",3752,2007-05-27,"PGA Tour",NA,NA,2016-01-28
"Mitsubishi Diamond Cup",3753,2007-05-27,"Japan Golf Tour",NA,NA,2016-01-28
"Melwood Prince George's County Open",3754,2007-05-27,"Web.com Tour",NA,NA,2016-01-28
"Open Mahou de Madrid",3755,2007-05-27,"European Challenge Tour",NA,NA,2016-01-28
"SK Telecom Open",3756,2007-05-27,"Asian Tour",NA,NA,2016-01-28
"the Memorial Tournament",3757,2007-06-03,"PGA Tour",NA,NA,2016-01-28
"LaSalle Bank Open",3758,2007-06-03,"Web.com Tour",NA,NA,2016-01-28
"The Celtic Manor Wales Open",3759,2007-06-03,"European Tour",NA,NA,2016-01-28
"Oceanico Developments Pro-Am Challenge",3760,2007-06-03,"European Challenge Tour",NA,NA,2016-01-28
"JCB Classic",3761,2007-06-03,"Japan Golf Tour",NA,NA,2016-01-28
"Stanford St. Jude Championship",3762,2007-06-10,"PGA Tour",NA,NA,2016-01-28
"The Rex Hospital Open",3763,2007-06-10,"Web.com Tour",NA,NA,2016-01-28
"BA-CA Golf Open Presented by Telekom Austria ",3764,2007-06-10,"European Tour",NA,NA,2016-01-28
"Vodafone Challenge",3765,2007-06-10,"European Challenge Tour",NA,NA,2016-01-28
"Bangkok Airways Open",3766,2007-06-10,"Asian Tour",NA,NA,2016-01-28
"US OPEN CHAMPIONSHIP",3767,2007-06-17,"Major Championship",NA,NA,2016-01-28
"Rochester Area Charities Showdown",3768,2007-06-17,"Web.com Tour",NA,NA,2016-01-28
