"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3660,"Tournament Results Collected",2016-01-28,"UBS Hong Kong Open",2006-11-19
3661,"Tournament Results Collected",2016-01-28,"MFS Australian Open",2006-11-19
3662,"Tournament Results Collected",2016-01-28,"Limpopo Classic",2006-11-19
3663,"Tournament Results Collected",2016-01-28,"Mastercard Masters",2006-11-26
3664,"Tournament Results Collected",2016-01-28,"Casio World Open",2006-11-26
3665,"Tournament Results Collected",2016-01-28,"Nedbank Golf Challenge",2006-12-03
3666,"Tournament Results Collected",2016-01-28,"Blue Chip New Zealand Open",2006-12-03
3667,"Tournament Results Collected",2016-01-28,"Golf Nippon Series JT Cup",2006-12-03
3668,"Tournament Results Collected",2016-01-28,"Abierto Visa de la Republica",2006-12-03
3669,"Tournament Results Collected",2016-01-28,"CS Australian PGA Championship",2006-12-10
3670,"Tournament Results Collected",2016-01-28,"Alfred Dunhill Championship",2006-12-10
3671,"Tournament Results Collected",2016-01-28,"Abierto Mexicano Corona",2006-12-10
3672,"Tournament Results Collected",2016-01-28,"South African Airways Open",2006-12-17
3673,"Tournament Results Collected",2016-01-28,"Volvo Masters of Asia",2006-12-17
3674,"Tournament Results Collected",2016-01-28,"Mercedes-Benz Championship",2007-01-07
3675,"Tournament Results Collected",2016-01-28,"Sony Open in Hawaii",2007-01-14
3676,"Tournament Results Collected",2016-01-28,"Joburg Open",2007-01-14
3677,"Tournament Results Collected",2016-01-28,"Bob Hope Chrysler Classic",2007-01-21
3678,"Tournament Results Collected",2016-01-28,"Abu Dhabi Championship",2007-01-21
3679,"Tournament Results Collected",2016-01-28,"Pakistan Open",2007-01-21
3680,"Tournament Results Collected",2016-01-28,"Commercialbank Qatar Masters",2007-01-28
3681,"Tournament Results Collected",2016-01-28,"Buick Invitational",2007-01-28
3682,"Tournament Results Collected",2016-01-28,"Dimension Data Pro-Am",2007-01-28
3683,"Tournament Results Collected",2016-01-28,"Movistar Panama Championship",2007-01-28
3684,"Tournament Results Collected",2016-01-28,"FBR Open",2007-02-04
3685,"Tournament Results Collected",2016-01-28,"Dubai Desert Classic",2007-02-04
3686,"Tournament Results Collected",2016-01-28,"Club Colombia Masters",2007-02-04
3687,"Tournament Results Collected",2016-01-28,"Nashua Masters",2007-02-04
3688,"Tournament Results Collected",2016-01-28,"Philippine Open",2007-02-04
3689,"Tournament Results Collected",2016-01-28,"Maybank Malaysian Open",2007-02-11
3690,"Tournament Results Collected",2016-01-28,"AT&T Pebble Beach National Pro-Am",2007-02-11
3691,"Tournament Results Collected",2016-01-28,"Kai Fieberg Costa Rica Open",2007-02-11
3692,"Tournament Results Collected",2016-01-28,"Nissan Open",2007-02-18
3693,"Tournament Results Collected",2016-01-28,"Abierto Telefonica de Guatemala",2007-02-18
3694,"Tournament Results Collected",2016-01-28,"Enjoy Jakarta Astro Indonesia Open",2007-02-18
3695,"Tournament Results Collected",2016-01-28,"Jacob's Creek Open",2007-02-18
3696,"Tournament Results Collected",2016-01-28,"Vodacom Championship",2007-02-18
3697,"No Tournament Scores Available",2016-01-28,"WGC-Accenture Match Play Championship",2007-02-25
3698,"Tournament Results Collected",2016-01-28,"Mayakoba Golf Classic",2007-02-25
