"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Billy Hurley-III",11046,"USA","427","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Charlie Beljan",13118,"USA","438","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Ken Duke",493,"USA","440","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Mark Hubbard",16333,"USA","454","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Will Mackenzie",7470,"USA","461","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Chad Collins",7744,"USA","465","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Justin Leonard",5603,"USA","541","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Justin Hicks",9166,"USA","605","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Darren Clarke",3523,"NIR","608","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Robert Allenby",4949,"AUS","692","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Gregory Yates",19830,"USA","830","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Mike Weir",5513,"CAN","910","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Trevor Immelman",5935,"RSA","1610","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Brian Gay",5951,"USA","1722","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Rod Perry",8263,"USA","1731","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Austin Connelly",19704,"CAN","1731","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Lee McCoy",19871,"USA","1731","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Ryan Fox",11889,"NZL","160","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Brad Kennedy",6287,"AUS","189","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Matthew Millar",7449,"AUS","270","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Josh Geary",9903,"NZL","282","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Dylan Frittelli",11955,"RSA","312","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
